"","V1","V2","V3"
"b[load_std Stock:E.Stuart]","2724","sch","Neff"
"b[(Intercept) Stock:Gates]","1756","sch","Neff"
"b[load_std Stock:Gates]","2608","sch","Neff"
"b[(Intercept) Stock:Harrison]","4795","sch","Neff"
"b[load_std Stock:Harrison]","4061","sch","Neff"
"b[(Intercept) Stock:L.Shuswap]","3946","sch","Neff"
"b[load_std Stock:L.Shuswap]","2021","sch","Neff"
"b[(Intercept) Stock:L.Stuart]","4923","sch","Neff"
"b[load_std Stock:L.Stuart]","4740","sch","Neff"
"b[(Intercept) Stock:Nadina]","2864","sch","Neff"
"b[load_std Stock:Nadina]","2819","sch","Neff"
"b[(Intercept) Stock:Pitt]","2173","sch","Neff"
"b[load_std Stock:Pitt]","3422","sch","Neff"
"b[(Intercept) Stock:Quesnel]","1838","sch","Neff"
"b[load_std Stock:Quesnel]","3131","sch","Neff"
"b[(Intercept) Stock:Raft]","3541","sch","Neff"
"b[load_std Stock:Raft]","2144","sch","Neff"
"b[(Intercept) Stock:Scotch]","4226","sch","Neff"
"b[load_std Stock:Scotch]","4334","sch","Neff"
"b[(Intercept) Stock:Seymour]","2949","sch","Neff"
"b[load_std Stock:Seymour]","3263","sch","Neff"
"b[(Intercept) Stock:Stellako]","5001","sch","Neff"
"b[load_std Stock:Stellako]","3762","sch","Neff"
"b[(Intercept) Stock:Weaver]","4468","sch","Neff"
"b[load_std Stock:Weaver]","3460","sch","Neff"
"b[(Intercept) Year:2009]","6939","sch","Neff"
"b[(Intercept) Year:2010]","2320","sch","Neff"
"b[(Intercept) Year:2011]","5516","sch","Neff"
"b[(Intercept) Year:2012]","4671","sch","Neff"
"b[(Intercept) Year:2013]","3796","sch","Neff"
"b[(Intercept) Year:2014]","4132","sch","Neff"
"b[(Intercept) Year:2015]","2796","sch","Neff"
"b[(Intercept) Year:2016]","2521","sch","Neff"
"sigma","1990","sch","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1347","sch","Neff"
"Sigma[Stock:load_std,(Intercept)]","2457","sch","Neff"
"Sigma[Stock:load_std,load_std]","1570","sch","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1990","sch","Neff"
"mean_PPD","4297","sch","Neff"
"log-posterior","807","sch","Neff"
"load_std","2354","pa_pse","Neff"
"sst_anom","1842","pa_pse","Neff"
"b[(Intercept) Stock:Birkenhead]","3216","pa_pse","Neff"
"b[load_std Stock:Birkenhead]","3830","pa_pse","Neff"
"b[(Intercept) Stock:Bowron]","5351","pa_pse","Neff"
"b[load_std Stock:Bowron]","4338","pa_pse","Neff"
"b[(Intercept) Stock:Chilko]","2549","pa_pse","Neff"
"b[load_std Stock:Chilko]","3676","pa_pse","Neff"
"b[(Intercept) Stock:E.Stuart]","3753","pa_pse","Neff"
"b[load_std Stock:E.Stuart]","4587","pa_pse","Neff"
"b[(Intercept) Stock:Gates]","4638","pa_pse","Neff"
"b[load_std Stock:Gates]","4180","pa_pse","Neff"
"b[(Intercept) Stock:Harrison]","5369","pa_pse","Neff"
"b[load_std Stock:Harrison]","5184","pa_pse","Neff"
"b[(Intercept) Stock:L.Shuswap]","3406","pa_pse","Neff"
"b[load_std Stock:L.Shuswap]","2757","pa_pse","Neff"
"b[(Intercept) Stock:L.Stuart]","5545","pa_pse","Neff"
"b[load_std Stock:L.Stuart]","4454","pa_pse","Neff"
"b[(Intercept) Stock:Nadina]","4642","pa_pse","Neff"
"b[load_std Stock:Nadina]","3836","pa_pse","Neff"
"b[(Intercept) Stock:Pitt]","3123","pa_pse","Neff"
"b[load_std Stock:Pitt]","4469","pa_pse","Neff"
"b[(Intercept) Stock:Portage]","3570","pa_pse","Neff"
"b[load_std Stock:Portage]","3350","pa_pse","Neff"
"b[(Intercept) Stock:Quesnel]","2547","pa_pse","Neff"
"b[load_std Stock:Quesnel]","3103","pa_pse","Neff"
"b[(Intercept) Stock:Scotch]","4696","pa_pse","Neff"
"b[load_std Stock:Scotch]","3555","pa_pse","Neff"
"b[(Intercept) Stock:Seymour]","3048","pa_pse","Neff"
"b[load_std Stock:Seymour]","2330","pa_pse","Neff"
"b[(Intercept) Stock:Stellako]","5720","pa_pse","Neff"
"b[load_std Stock:Stellako]","4103","pa_pse","Neff"
"b[(Intercept) Stock:Weaver]","3836","pa_pse","Neff"
"b[load_std Stock:Weaver]","3728","pa_pse","Neff"
"b[(Intercept) Year:2009]","2686","pa_pse","Neff"
"b[(Intercept) Year:2010]","3398","pa_pse","Neff"
"b[(Intercept) Year:2011]","4100","pa_pse","Neff"
"b[(Intercept) Year:2012]","3845","pa_pse","Neff"
"b[(Intercept) Year:2013]","3073","pa_pse","Neff"
"b[(Intercept) Year:2014]","3026","pa_pse","Neff"
"b[(Intercept) Year:2015]","2023","pa_pse","Neff"
"b[(Intercept) Year:2016]","2268","pa_pse","Neff"
"sigma","2115","pa_pse","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1531","pa_pse","Neff"
"Sigma[Stock:load_std,(Intercept)]","2484","pa_pse","Neff"
"Sigma[Stock:load_std,load_std]","2896","pa_pse","Neff"
"Sigma[Year:(Intercept),(Intercept)]","2074","pa_pse","Neff"
"mean_PPD","4066","pa_pse","Neff"
"log-posterior","655","pa_pse","Neff"
"load_std","3232","ven","Neff"
"sst_anom","2481","ven","Neff"
"b[(Intercept) Stock:Birkenhead]","2605","ven","Neff"
"b[load_std Stock:Birkenhead]","3697","ven","Neff"
"b[(Intercept) Stock:Bowron]","4396","ven","Neff"
"b[load_std Stock:Bowron]","4248","ven","Neff"
"b[(Intercept) Stock:Chilko]","3295","ven","Neff"
"b[load_std Stock:Chilko]","4838","ven","Neff"
"b[(Intercept) Stock:E.Stuart]","5279","ven","Neff"
"b[load_std Stock:E.Stuart]","4427","ven","Neff"
"b[(Intercept) Stock:Gates]","1710","ven","Neff"
"b[load_std Stock:Gates]","3833","ven","Neff"
"b[(Intercept) Stock:Harrison]","6188","ven","Neff"
"b[load_std Stock:Harrison]","4223","ven","Neff"
"b[(Intercept) Stock:L.Shuswap]","4717","ven","Neff"
"b[load_std Stock:L.Shuswap]","4367","ven","Neff"
