"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","early_sst_stnd"
2014,6,"Quesnel",832344,"430826.6767","",NA,NA,0,1571,0,2020693.867,0,0,NA,NA,NA,NA,2020693.867,2022264.867,NA,"",430826.6767,93729.3403,97.2378,16938.876,1.54549036293249,NA,NA,NA,NA,NA
1950,7,"Chilko",26447,"6554.8764","Brood year t+2",1170491,0,0,1489,0,183278,954,0,4705,15449,0,0,203432,205875,NA,"0.900930041",6554.8764,430826.6767,93729.3403,97.2378,3.43512253550452,0,0.920325440194293,0.0796745598057073,-0.59109183407765,-1.03839046821943
1951,7,"Chilko",118110,"57564.2868","",11504581,0,0,3925,0,644911,5004,0,20763,74115,0,3609,743398,752327,NA,"0.867517803",57564.2868,6554.8764,430826.6767,93729.3403,2.55832921294175,0,0.890037177982446,0.109962822017554,-0.151224316788136,-0.30319803706789
1952,7,"Chilko",490065,"233628.126","",22973478,0,0,18732,0,1763929,114,0,35975,38833,0,893,1839630,1858476,NA,"0.958849877",233628.126,57564.2868,6554.8764,430826.6767,2.06358909732227,0,0.978563080717749,0.0214369192822506,-0.649165679058617,-1.13545481054906
1953,7,"Chilko",201245,"94470.624","",7690383,0,0,1172,0,514554,2583,0,14004,86362,0,781,615701,619456,NA,"0.835720585",94470.624,233628.126,57564.2868,6554.8764,1.87447252705272,0,0.855153554086166,0.144846445913834,-0.831283859397445,-1.43984625228417
1954,7,"Chilko",37743,"21247.401","",3007274,0,0,12234,0,632132,2844,0,4415,58891,0,2233,697671,712749,NA,"0.906060306",21247.401,94470.624,233628.126,57564.2868,3.49151306293063,0,0.910251715540815,0.0897482844591855,0.0497276251388623,0.0326720622754396
1955,7,"Chilko",132146,"75834.249","",9159120,0,0,32418,0,1407963,1373,0,31011,40510,0,0,1479484,1513275,NA,"0.951658146",75834.249,21247.401,94470.624,233628.126,2.97089863294217,0,0.972322941963622,0.0276770580363781,0.508177671804045,0.798923242735925
1956,7,"Chilko",647768,"368607.474","",28242157,0,0,13905,0,2379854,75,0,16684,25152,0,0,2421690,2435670,NA,"0.982724461",368607.474,75834.249,21247.401,94470.624,1.88248860077441,0,0.989642685585486,0.0103573144145143,1.35333670598205,2.21151794596802
1957,7,"Chilko",140765,"83127.8448","",9458468,0,0,76,0,117362,63,0,3149,17578,0,0,138089,138228,NA,"0.849901151",83127.8448,368607.474,75834.249,21247.401,0.507518683268731,0,0.872377521196863,0.127622478803137,0.0816523557947444,0.0860309019765035
1958,7,"Chilko",137081,"70433.496","",6902846,0,0,4055,0,278320,1711,0,13613,130581,0,5091,427605,433371,NA,"0.65088107",70433.496,83127.8448,368607.474,75834.249,1.80353092678994,0,0.682989863188815,0.317010136811185,0.118669729754019,0.147901560950515
1959,7,"Chilko",471162,"272890.9106","",32629026,0,0,23792,0,2080497,1272,0,18659,88363,0,0,2187519,2212583,NA,"0.951076082",272890.9106,70433.496,83127.8448,368607.474,2.08145118345448,0,0.959488525402211,0.0405114745977891,0.421762699354172,0.654489677659784
1960,7,"Chilko",426607,"244863.63","",33817514,0,0,5472,0,958877,1045,0,5980,81961,0,0,1046818,1053335,NA,"0.915992083",244863.63,272890.9106,70433.496,83127.8448,1.45280892243618,0,0.921196960131392,0.0788030398686078,0.00958965502245525,-0.0344143459531242
1961,7,"Chilko",40315,"15038.4336","",1593017,0,0,256,0,52713,409,0,11583,4492,0,0,68788,69453,NA,"0.766310984",15038.4336,244863.63,272890.9106,70433.496,1.52042014696031,0,0.929434293695017,0.0705657063049832,0.634452443453005,1.00997828252101
1962,7,"Chilko",92467,"42125.351","",8808628,0,0,10657,0,960609,0,0,13582,696,0,18,974905,985562,NA,"0.985336007",42125.351,15038.4336,244863.63,272890.9106,3.1416903093712,0,0.999275540250131,0.000724459749868603,-0.578110627425295,-1.0166937424943
1963,7,"Chilko",1002252,"57206.5416","",9263733,0,0,37579,0,1112861,3971,0,4045,47006,0,841,1164753,1206303,NA,"0.955448065",57206.5416,42125.351,15038.4336,244863.63,3.01359607087051,0,0.957043959933781,0.0429560400662189,-0.919332920906821,-1.58701102587459
1964,7,"Chilko",238601,"131589.908","",23643449,0,0,7252,0,1818921,1343,0,55810,156756,0,0,2031487,2040082,NA,"0.895364332",131589.908,57206.5416,42125.351,15038.4336,2.73683298717437,0,0.92250360524724,0.0774963947527599,-0.149055162194081,-0.299572522618963
1965,7,"Chilko",39902,"20812.9353","",2343404,0,0,1787,0,138555,1782,0,2360,14460,0,0,155375,158944,NA,"0.891745776",20812.9353,131589.908,57206.5416,42125.351,2.01026686699362,0,0.897813066237165,0.102186933762835,-0.146723570170933,-0.295675511040309
1966,7,"Chilko",226702,"107540.8448","",16816182,0,0,26456,0,744469,1479,0,27636,89160,0,0,861265,889200,NA,"0.86439017",107540.8448,20812.9353,131589.908,57206.5416,2.08053151168964,0,0.898066801619433,0.101933198380567,-0.339080736555792,-0.617180344303151
1967,7,"Chilko",176337,"90006.1272","",8812334,0,0,28734,0,1933329,5300,0,23351,13996,0,0,1970676,2004710,NA,"0.981048635",90006.1272,107540.8448,20812.9353,131589.908,3.08625416206569,0,0.990374667657666,0.0096253323423338,-0.475516161541478,-0.845217850706244
1968,7,"Chilko",414446,"181911.744","",31772048,0,0,46952,0,2349375,1108,0,21925,55581,0,1128,2428009,2476069,NA,"0.967613794",181911.744,90006.1272,107540.8448,20812.9353,2.5913052125404,0,0.976649681410332,0.0233503185896677,-0.53566222110706,-0.945745682424042
1969,7,"Chilko",76518,"25518.6987","",3570614,0,0,4126,0,369954,294,0,15839,12146,0,0,397939,402359,NA,"0.929675151",25518.6987,181911.744,90006.1272,107540.8448,2.74688726140912,0,0.969082336918026,0.0309176630819741,-1.11227139580892,-1.90948745536867
1970,7,"Chilko",145049,"50923.121","",3848709,0,0,16775,0,630046,5423,0,1084,41128,0,0,672258,694456,NA,"0.937208631",50923.121,25518.6987,181911.744,90006.1272,2.58032513137885,0,0.932967675417881,0.067032324582119,-0.472330612666341,-0.839893539794414
1971,7,"Chilko",174266,"90643.3658","",7608969,0,0,58786,0,740253,13222,0,0,40581,0,0,780834,852842,NA,"0.948028646",90643.3658,50923.121,25518.6987,181911.744,2.15342982948668,0,0.93691328522751,0.0630867147724901,-0.284344751765049,-0.525694885277328
1972,7,"Chilko",562333,"331140.474","",20273314,0,0,42709,0,1947465,1309,0,34424,83501,0,166,2065556,2109574,NA,"0.942828468",331140.474,90643.3658,50923.121,25518.6987,1.83061204045152,0,0.959718881632026,0.0402811183679738,-0.47322326549263,-0.841385515391016
