"","V1","V2","V3"
"b[(Intercept) Year:2009]","2881","pa_pse","Neff"
"b[(Intercept) Year:2010]","2073","pa_pse","Neff"
"b[(Intercept) Year:2011]","1939","pa_pse","Neff"
"b[(Intercept) Year:2012]","2572","pa_pse","Neff"
"b[(Intercept) Year:2013]","2158","pa_pse","Neff"
"b[(Intercept) Year:2014]","1844","pa_pse","Neff"
"b[(Intercept) Year:2015]","2045","pa_pse","Neff"
"b[(Intercept) Year:2016]","2027","pa_pse","Neff"
"sigma","2379","pa_pse","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1497","pa_pse","Neff"
"Sigma[Stock:load_std,(Intercept)]","2102","pa_pse","Neff"
"Sigma[Stock:load_std,load_std]","2040","pa_pse","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1749","pa_pse","Neff"
"mean_PPD","4441","pa_pse","Neff"
"log-posterior","847","pa_pse","Neff"
"load_std","1936","ven","Neff"
"b[(Intercept) Stock:Birkenhead]","2586","ven","Neff"
"b[load_std Stock:Birkenhead]","3723","ven","Neff"
"b[(Intercept) Stock:Chilko]","1981","ven","Neff"
"b[load_std Stock:Chilko]","2294","ven","Neff"
"b[(Intercept) Stock:E.Stuart]","2414","ven","Neff"
"b[load_std Stock:E.Stuart]","4459","ven","Neff"
"b[(Intercept) Stock:Gates]","3564","ven","Neff"
"b[load_std Stock:Gates]","2933","ven","Neff"
"b[(Intercept) Stock:Harrison]","3164","ven","Neff"
"b[load_std Stock:Harrison]","3746","ven","Neff"
"b[(Intercept) Stock:L.Shuswap]","1917","ven","Neff"
"b[load_std Stock:L.Shuswap]","1917","ven","Neff"
"b[(Intercept) Stock:L.Stuart]","2992","ven","Neff"
"b[load_std Stock:L.Stuart]","4419","ven","Neff"
"b[(Intercept) Stock:Nadina]","3650","ven","Neff"
"b[load_std Stock:Nadina]","3613","ven","Neff"
"b[(Intercept) Stock:Pitt]","2763","ven","Neff"
"b[load_std Stock:Pitt]","1830","ven","Neff"
"b[(Intercept) Stock:Quesnel]","2926","ven","Neff"
"b[load_std Stock:Quesnel]","1977","ven","Neff"
"b[(Intercept) Stock:Scotch]","2723","ven","Neff"
"b[load_std Stock:Scotch]","4067","ven","Neff"
"b[(Intercept) Stock:Seymour]","2465","ven","Neff"
"b[load_std Stock:Seymour]","3159","ven","Neff"
"b[(Intercept) Stock:Stellako]","2467","ven","Neff"
"b[load_std Stock:Stellako]","4526","ven","Neff"
"b[(Intercept) Stock:Weaver]","3356","ven","Neff"
"b[load_std Stock:Weaver]","4386","ven","Neff"
"b[(Intercept) Year:2009]","3279","ven","Neff"
