"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","N+","prev","mean_load","prevload","agent"
"198","Chilko",2012,191,2010,"SR_resid",1.51870929766449,22,1,0.0454545454545455,2.15977723,0.0981716922727273,"ce_sha"
"199","Chilko",2013,192,2011,"SR_resid",0.19771074921524,510,20,0.0392156862745098,45.05901195855,1.76702007680588,"ce_sha"
"200","Chilko",2014,193,2012,"SR_resid",0.0142645387748008,51,0,0,NA,NA,"ce_sha"
"201","Chilko",2015,194,2013,"SR_resid",-1.63866409469691,72,1,0.0138888888888889,297.7910376,4.13598663333333,"ce_sha"
"202","Chilko",2016,195,2014,"SR_resid",0.118387368990521,20,3,0.15,2308.21895376667,346.232843065,"ce_sha"
"203","E.Stuart",2009,253,2007,"SR_resid",-0.36854159987182,1,0,0,NA,NA,"ce_sha"
"204","E.Stuart",2010,254,2008,"SR_resid",0.797398517862314,3,0,0,NA,NA,"ce_sha"
"205","E.Stuart",2011,255,2009,"SR_resid",0.306542225988378,22,0,0,NA,NA,"ce_sha"
"206","E.Stuart",2012,256,2010,"SR_resid",-0.875004702568626,1,0,0,NA,NA,"ce_sha"
"207","E.Stuart",2013,257,2011,"SR_resid",0.48067594986311,1,0,0,NA,NA,"ce_sha"
"208","E.Stuart",2014,258,2012,"SR_resid",-1.10594629027971,8,0,0,NA,NA,"ce_sha"
"209","E.Stuart",2015,259,2013,"SR_resid",-2.77552980656922,18,1,0.0555555555555556,294.2489346,16.3471630333333,"ce_sha"
"210","E.Stuart",2016,260,2014,"SR_resid",-0.391618684657425,1,0,0,NA,NA,"ce_sha"
"211","Gates",2009,351,2007,"SR_resid",2.46731940055161,1,0,0,NA,NA,"ce_sha"
"212","Gates",2010,352,2008,"SR_resid",0.906764601998679,1,0,0,NA,NA,"ce_sha"
"213","Gates",2011,353,2009,"SR_resid",0.450906844399479,4,0,0,NA,NA,"ce_sha"
"214","Gates",2013,355,2011,"SR_resid",-0.231147951215527,15,0,0,NA,NA,"ce_sha"
"215","Gates",2014,356,2012,"SR_resid",-0.109153978191419,8,0,0,NA,NA,"ce_sha"
"216","Gates",2015,357,2013,"SR_resid",0.382737877444286,5,0,0,NA,NA,"ce_sha"
"217","Harrison",2009,416,2007,"SR_resid",1.30259479491901,1,0,0,NA,NA,"ce_sha"
"218","Harrison",2010,417,2008,"SR_resid",1.18199741656538,44,16,0.363636363636364,547.640309671062,199.141930789477,"ce_sha"
"219","Harrison",2011,418,2009,"SR_resid",-0.495958986830574,8,0,0,NA,NA,"ce_sha"
"220","Harrison",2013,420,2011,"SR_resid",0.69096343611056,4,0,0,NA,NA,"ce_sha"
"221","Harrison",2014,421,2012,"SR_resid",-0.51486879193369,1,0,0,NA,NA,"ce_sha"
"222","Harrison",2015,422,2013,"SR_resid",-1.08883708095772,5,0,0,NA,NA,"ce_sha"
"223","L.Shuswap",2009,481,2007,"SR_resid",0.393202735523489,5,0,0,NA,NA,"ce_sha"
"224","L.Shuswap",2010,482,2008,"SR_resid",2.30839208071176,4,2,0.5,73.5281359245,36.76406796225,"ce_sha"
"225","L.Shuswap",2011,483,2009,"SR_resid",0.158944996920779,17,0,0,NA,NA,"ce_sha"
"226","L.Shuswap",2012,484,2010,"SR_resid",0.33121463228102,176,7,0.0397727272727273,20.9915378534286,0.834890710079545,"ce_sha"
"227","L.Shuswap",2013,485,2011,"SR_resid",-2.45594693983033,29,1,0.0344827586206897,29.29590133,1.01020349413793,"ce_sha"
"228","L.Shuswap",2014,486,2012,"SR_resid",2.00110064281957,1,0,0,NA,NA,"ce_sha"
"229","L.Shuswap",2015,487,2013,"SR_resid",-3.21084502361583,93,13,0.139784946236559,1499.04611531823,209.544080635882,"ce_sha"
"230","L.Shuswap",2016,488,2014,"SR_resid",-0.375699293003899,76,2,0.0263157894736842,3646.654228815,95.9645849688158,"ce_sha"
"231","L.Stuart",2011,548,2009,"SR_resid",-0.465229188418885,14,1,0.0714285714285714,1.523392451,0.1088137465,"ce_sha"
"232","L.Stuart",2014,551,2012,"SR_resid",-1.70954381435929,7,1,0.142857142857143,814.1841225,116.3120175,"ce_sha"
"233","L.Stuart",2015,552,2013,"SR_resid",-0.78400170462408,10,1,0.1,450.3266732,45.03266732,"ce_sha"
"234","L.Stuart",2016,553,2014,"SR_resid",-0.307344369522045,3,0,0,NA,NA,"ce_sha"
"235","Nadina",2010,589,2008,"SR_resid",0.262191956095976,1,0,0,NA,NA,"ce_sha"
"236","Nadina",2011,590,2009,"SR_resid",-0.422092858758246,3,0,0,NA,NA,"ce_sha"
"237","Nadina",2014,593,2012,"SR_resid",-1.05440346853844,24,1,0.0416666666666667,20.43520059,0.85146669125,"ce_sha"
"238","Nadina",2015,594,2013,"SR_resid",-2.0479492309041,7,1,0.142857142857143,58.82054969,8.40293567,"ce_sha"
"239","Pitt",2010,654,2008,"SR_resid",0.629286548510264,5,2,0.4,4863.2969515,1945.3187806,"ce_sha"
"240","Pitt",2011,655,2009,"SR_resid",-0.249717762759789,1,0,0,NA,NA,"ce_sha"
"241","Pitt",2012,656,2010,"SR_resid",-0.155742343267508,1,0,0,NA,NA,"ce_sha"
"242","Pitt",2013,657,2011,"SR_resid",0.508782527675962,45,1,0.0222222222222222,0.279108411,0.00620240913333333,"ce_sha"
